Name,Age,Email,Location
alice,,alice@example.com,new york
bob,,bob@example.com,los angeles
charlie,,charlie@example.com,chicago
diana,,diana@example.com,miami
unknown,,evan@example.com,seattle
fiona,,fiona@example.com,boston
george,unknown,george@example.com,atlanta
hannah,,hannah@example.com,san francisco
ian,,ian@example.com,dallas
julia,,julia@example.com,denver
kevin,,kevin@example.com,unknown
laura,,laura@example.com,houston
mike,,mike@example.com,philadelphia
nina,,nina@example.com,portland
oliver,,oliver@example.com,san diego
pam,,pam@example.com,san jose
quinn,,quinn@example.com,las vegas
rita,,rita@example.com,charlotte
sam,,sam@example.com,san antonio
tina,,tina@example.com,fort worth
